system:index,FID,mean,.geo
00000000000000000000,172.0,-0.1355498731136322,"{""type"":""Point"",""coordinates"":[29.969280501981313,-29.623607914766904]}"
00000000000000000001,173.0,-0.04070894420146942,"{""type"":""Point"",""coordinates"":[29.96674025604724,-29.64919680754942]}"
00000000000000000002,175.0,-0.042455680668354034,"{""type"":""Point"",""coordinates"":[30.007527248328724,-29.71382429228736]}"
00000000000000000003,177.0,-0.05689789727330208,"{""type"":""Point"",""coordinates"":[30.05394847435834,-29.60190129425684]}"
00000000000000000004,182.0,0.0022703316062688828,"{""type"":""Point"",""coordinates"":[29.988853915956447,-29.61997124204297]}"
00000000000000000005,184.0,-0.02324129082262516,"{""type"":""Point"",""coordinates"":[30.345268076339277,-29.226331510258458]}"
00000000000000000006,185.0,-0.04064355045557022,"{""type"":""Point"",""coordinates"":[30.059665398024542,-29.592201357735178]}"
00000000000000000007,187.0,0.03018559142947197,"{""type"":""Point"",""coordinates"":[29.96629137928314,-29.67848194697352]}"
00000000000000000008,189.0,0.015107913874089718,"{""type"":""Point"",""coordinates"":[30.253010270606033,-29.257793446832615]}"
00000000000000000009,191.0,-0.03844039887189865,"{""type"":""Point"",""coordinates"":[30.27801856906846,-29.256483016405085]}"
0000000000000000000a,193.0,-0.09866727888584137,"{""type"":""Point"",""coordinates"":[30.23735774800562,-29.262449571537452]}"
0000000000000000000b,194.0,0.010879130102694035,"{""type"":""Point"",""coordinates"":[29.99175075497288,-29.722294574543795]}"
0000000000000000000c,195.0,0.015315460041165352,"{""type"":""Point"",""coordinates"":[30.46167728689395,-29.280889613050853]}"
0000000000000000000d,196.0,0.009325044229626656,"{""type"":""Point"",""coordinates"":[30.305991960693625,-29.243335229469317]}"
0000000000000000000e,197.0,-0.012923779897391796,"{""type"":""Point"",""coordinates"":[30.115727298297077,-29.569990569476914]}"
0000000000000000000f,200.0,0.08636084198951721,"{""type"":""Point"",""coordinates"":[30.491108529054863,-29.312173186073554]}"
00000000000000000010,202.0,0.035163480788469315,"{""type"":""Point"",""coordinates"":[30.468007204072418,-29.26197882249596]}"
00000000000000000011,203.0,0.013176008127629757,"{""type"":""Point"",""coordinates"":[30.312542131649874,-29.268711782465545]}"
00000000000000000012,205.0,-0.012966976501047611,"{""type"":""Point"",""coordinates"":[29.926264159371076,-29.675776994534452]}"
00000000000000000013,207.0,-0.041055843234062195,"{""type"":""Point"",""coordinates"":[30.114346844622006,-29.56072890092052]}"
00000000000000000014,208.0,-0.048478882759809494,"{""type"":""Point"",""coordinates"":[29.936112506369383,-29.672374737168727]}"
00000000000000000015,210.0,-0.011234145611524582,"{""type"":""Point"",""coordinates"":[30.319029775674196,-29.23673325986275]}"
00000000000000000016,211.0,-0.014718948863446712,"{""type"":""Point"",""coordinates"":[29.984749226311788,-29.689732785534744]}"
00000000000000000017,212.0,-0.06578828394412994,"{""type"":""Point"",""coordinates"":[30.48550672796252,-29.29225756981626]}"
00000000000000000018,214.0,-0.0017779094632714987,"{""type"":""Point"",""coordinates"":[30.318210102176163,-29.271857045130933]}"
00000000000000000019,215.0,0.03299735486507416,"{""type"":""Point"",""coordinates"":[29.91907594586581,-29.659852350318246]}"
0000000000000000001a,216.0,0.07609282433986664,"{""type"":""Point"",""coordinates"":[30.321886158517216,-29.21918450980347]}"
0000000000000000001b,218.0,-0.07774822413921356,"{""type"":""Point"",""coordinates"":[30.291872454858467,-29.286441736816684]}"
0000000000000000001c,220.0,0.08900678902864456,"{""type"":""Point"",""coordinates"":[30.06818357888032,-29.549169514172696]}"
0000000000000000001d,222.0,0.04967197775840759,"{""type"":""Point"",""coordinates"":[30.073819020871397,-29.546571855805986]}"
0000000000000000001e,223.0,-0.08833694458007812,"{""type"":""Point"",""coordinates"":[30.055317577918206,-29.563072120756722]}"
0000000000000000001f,225.0,-0.07993602007627487,"{""type"":""Point"",""coordinates"":[29.970861127061838,-29.69874060225116]}"
00000000000000000020,226.0,0.03312249854207039,"{""type"":""Point"",""coordinates"":[30.06759001742241,-29.55588973822237]}"
00000000000000000021,230.0,0.04160332679748535,"{""type"":""Point"",""coordinates"":[30.09804601534901,-29.567568046278694]}"
00000000000000000022,231.0,0.01704084314405918,"{""type"":""Point"",""coordinates"":[29.91947799769355,-29.670198132791644]}"
00000000000000000023,234.0,0.023941446095705032,"{""type"":""Point"",""coordinates"":[30.06336046124939,-29.565618632550294]}"
00000000000000000024,235.0,-0.005911059211939573,"{""type"":""Point"",""coordinates"":[30.278649666743426,-29.244800569557313]}"
00000000000000000025,236.0,-0.05349230766296387,"{""type"":""Point"",""coordinates"":[29.9942167388938,-29.70925623625627]}"
00000000000000000026,238.0,-0.11449043452739716,"{""type"":""Point"",""coordinates"":[30.07883016543737,-29.59693165893831]}"
00000000000000000027,240.0,-0.004110438749194145,"{""type"":""Point"",""coordinates"":[30.017109335544223,-29.703350160293468]}"
00000000000000000028,243.0,0.006507431622594595,"{""type"":""Point"",""coordinates"":[29.91803799200773,-29.705269876909984]}"
00000000000000000029,244.0,-0.11540400981903076,"{""type"":""Point"",""coordinates"":[30.086159545442616,-29.597683853555658]}"
0000000000000000002a,247.0,0.022691335529088974,"{""type"":""Point"",""coordinates"":[29.936040250952946,-29.69215072932587]}"
0000000000000000002b,248.0,-0.09113453328609467,"{""type"":""Point"",""coordinates"":[30.316021693127016,-29.22034750937784]}"
0000000000000000002c,249.0,-0.01615488901734352,"{""type"":""Point"",""coordinates"":[29.977957234573967,-29.70611478685332]}"
0000000000000000002d,250.0,-0.021333886310458183,"{""type"":""Point"",""coordinates"":[30.24740803342836,-29.260306397211796]}"
0000000000000000002e,252.0,-0.07735081762075424,"{""type"":""Point"",""coordinates"":[30.24177199649546,-29.252278477820454]}"
0000000000000000002f,254.0,0.024146668612957,"{""type"":""Point"",""coordinates"":[30.349200032518606,-29.25003820581596]}"
00000000000000000030,258.0,0.05819224566221237,"{""type"":""Point"",""coordinates"":[30.32880024870183,-29.222609414636505]}"
00000000000000000031,262.0,0.026263976469635963,"{""type"":""Point"",""coordinates"":[29.9844093968816,-29.684290316772447]}"
00000000000000000032,265.0,-0.029852544888854027,"{""type"":""Point"",""coordinates"":[30.261257131583744,-29.26408798327673]}"
00000000000000000033,266.0,-0.020446229726076126,"{""type"":""Point"",""coordinates"":[30.24317518303698,-29.266769617055814]}"
00000000000000000034,267.0,0.02840612083673477,"{""type"":""Point"",""coordinates"":[30.258140413001634,-29.23526512914578]}"
00000000000000000035,268.0,0.09326504915952682,"{""type"":""Point"",""coordinates"":[29.983393857407275,-29.61991424664942]}"
00000000000000000036,271.0,0.12470357865095139,"{""type"":""Point"",""coordinates"":[30.348068517323036,-29.244817184670705]}"
00000000000000000037,272.0,-0.07240509986877441,"{""type"":""Point"",""coordinates"":[29.95001910313441,-29.647948883312523]}"
00000000000000000038,274.0,0.012217968702316284,"{""type"":""Point"",""coordinates"":[30.328562727824735,-29.252577936376703]}"
00000000000000000039,276.0,-0.010986920446157455,"{""type"":""Point"",""coordinates"":[30.071332536726057,-29.5989913405509]}"
0000000000000000003a,278.0,-0.08627494424581528,"{""type"":""Point"",""coordinates"":[30.31248151231166,-29.24272709941091]}"
0000000000000000003b,279.0,-0.016919216141104698,"{""type"":""Point"",""coordinates"":[30.112474129806742,-29.565532326641055]}"
0000000000000000003c,281.0,0.11022140085697174,"{""type"":""Point"",""coordinates"":[30.456234876256588,-29.276469402018147]}"
0000000000000000003d,282.0,-0.052708130329847336,"{""type"":""Point"",""coordinates"":[30.316518830228848,-29.22516197109917]}"
0000000000000000003e,283.0,0.15335261821746826,"{""type"":""Point"",""coordinates"":[29.933563108566073,-29.687956980197605]}"
0000000000000000003f,284.0,-0.06846838444471359,"{""type"":""Point"",""coordinates"":[29.976934519787047,-29.71799044746977]}"
00000000000000000040,285.0,0.016778523102402687,"{""type"":""Point"",""coordinates"":[30.05289809211919,-29.555752378697594]}"
00000000000000000041,286.0,0.03148028999567032,"{""type"":""Point"",""coordinates"":[29.985644555087273,-29.63156021374728]}"
00000000000000000042,287.0,-0.05178989842534065,"{""type"":""Point"",""coordinates"":[30.279443699223688,-29.26417309201554]}"
00000000000000000043,289.0,0.032929323613643646,"{""type"":""Point"",""coordinates"":[30.496112567602722,-29.25535283217731]}"
00000000000000000044,291.0,0.024628804996609688,"{""type"":""Point"",""coordinates"":[30.297499575271754,-29.239532441294802]}"
00000000000000000045,294.0,-0.0055764284916222095,"{""type"":""Point"",""coordinates"":[30.33847179569768,-29.240215903832663]}"
00000000000000000046,295.0,-0.049241818487644196,"{""type"":""Point"",""coordinates"":[29.927511694527702,-29.70147918929167]}"
00000000000000000047,296.0,-0.09045523405075073,"{""type"":""Point"",""coordinates"":[30.060275760521016,-29.58458174241066]}"
00000000000000000048,297.0,-0.04613516852259636,"{""type"":""Point"",""coordinates"":[30.229094488203575,-29.260232222458676]}"
00000000000000000049,301.0,0.0076920161955058575,"{""type"":""Point"",""coordinates"":[30.28260673231236,-29.233391726732204]}"
0000000000000000004a,302.0,-0.01741049624979496,"{""type"":""Point"",""coordinates"":[29.911179052893722,-29.681088759392747]}"
0000000000000000004b,306.0,0.0012988545931875706,"{""type"":""Point"",""coordinates"":[30.23665368229381,-29.246862457854654]}"
0000000000000000004c,307.0,0.17063169181346893,"{""type"":""Point"",""coordinates"":[30.33328147042144,-29.239557207484882]}"
0000000000000000004d,308.0,0.036465488374233246,"{""type"":""Point"",""coordinates"":[30.472834407767316,-29.293455685739694]}"
0000000000000000004e,309.0,0.05597902834415436,"{""type"":""Point"",""coordinates"":[29.943866985235083,-29.657512455890082]}"
0000000000000000004f,310.0,0.028206119313836098,"{""type"":""Point"",""coordinates"":[30.105264916999452,-29.552024785453945]}"
00000000000000000050,311.0,-0.037265341728925705,"{""type"":""Point"",""coordinates"":[30.11337638394781,-29.5748552349548]}"
00000000000000000051,312.0,0.05566775053739548,"{""type"":""Point"",""coordinates"":[30.30914505129385,-29.274795573319015]}"
00000000000000000052,313.0,-0.013331090100109577,"{""type"":""Point"",""coordinates"":[30.46668055096046,-29.292564380252443]}"
00000000000000000053,320.0,0.06622204184532166,"{""type"":""Point"",""coordinates"":[30.084824165342212,-29.559868853580504]}"
00000000000000000054,321.0,0.014447236433625221,"{""type"":""Point"",""coordinates"":[30.284565093582966,-29.269784671611472]}"
00000000000000000055,322.0,0.036889467388391495,"{""type"":""Point"",""coordinates"":[30.110061623859245,-29.579564543494403]}"
00000000000000000056,324.0,-0.044165436178445816,"{""type"":""Point"",""coordinates"":[29.99784306294988,-29.645961309203408]}"
00000000000000000057,326.0,-0.00781335961073637,"{""type"":""Point"",""coordinates"":[29.924138990132057,-29.658367414715094]}"
00000000000000000058,328.0,0.04350069910287857,"{""type"":""Point"",""coordinates"":[30.05916751447495,-29.572818693283313]}"
00000000000000000059,333.0,0.06833590567111969,"{""type"":""Point"",""coordinates"":[30.264829052370562,-29.225430762867575]}"
0000000000000000005a,338.0,0.1094483807682991,"{""type"":""Point"",""coordinates"":[29.96669727992222,-29.712898926151396]}"
0000000000000000005b,340.0,0.093990258872509,"{""type"":""Point"",""coordinates"":[30.516829218271916,-29.257047031942534]}"
0000000000000000005c,342.0,-0.04497705399990082,"{""type"":""Point"",""coordinates"":[30.073916384652957,-29.52969134411642]}"
0000000000000000005d,344.0,0.11014638096094131,"{""type"":""Point"",""coordinates"":[30.09264716259499,-29.553490595399605]}"
0000000000000000005e,345.0,-0.04924831539392471,"{""type"":""Point"",""coordinates"":[30.32491728533207,-29.238055713271446]}"
0000000000000000005f,346.0,-0.00420696847140789,"{""type"":""Point"",""coordinates"":[29.956872490806994,-29.657776099521545]}"
00000000000000000060,347.0,0.13634860515594482,"{""type"":""Point"",""coordinates"":[30.10186069869217,-29.583177679151433]}"
00000000000000000061,350.0,0.1267748922109604,"{""type"":""Point"",""coordinates"":[30.453007601999154,-29.258326336171287]}"
00000000000000000062,351.0,-0.07000554352998734,"{""type"":""Point"",""coordinates"":[29.94918006807631,-29.66945777197398]}"
00000000000000000063,356.0,0.05709433555603027,"{""type"":""Point"",""coordinates"":[29.921524546604726,-29.682260876184806]}"
00000000000000000064,357.0,0.06921589374542236,"{""type"":""Point"",""coordinates"":[30.4829460050688,-29.276075461869272]}"
00000000000000000065,359.0,-0.04463906213641167,"{""type"":""Point"",""coordinates"":[30.25918154868919,-29.229720952268465]}"
00000000000000000066,362.0,-0.06864798069000244,"{""type"":""Point"",""coordinates"":[30.002010713636007,-29.7041102271542]}"
00000000000000000067,0.0,0.026066433638334274,"{""type"":""Point"",""coordinates"":[30.33737019572593,-29.23248344806342]}"
00000000000000000068,1.0,3.8108142325654626E-4,"{""type"":""Point"",""coordinates"":[30.508664072532508,-29.28734954305372]}"
00000000000000000069,2.0,-0.024049650877714157,"{""type"":""Point"",""coordinates"":[30.501909091192008,-29.29205501194192]}"
0000000000000000006a,3.0,-0.07441341131925583,"{""type"":""Point"",""coordinates"":[30.094021937654347,-29.594682184528995]}"
0000000000000000006b,6.0,-0.0024773525074124336,"{""type"":""Point"",""coordinates"":[30.261933424339126,-29.25883184278934]}"
0000000000000000006c,7.0,0.013148996978998184,"{""type"":""Point"",""coordinates"":[30.102092851410276,-29.57487790004462]}"
0000000000000000006d,8.0,0.2040753960609436,"{""type"":""Point"",""coordinates"":[30.443381086647424,-29.26266955400654]}"
0000000000000000006e,9.0,-0.06467662006616592,"{""type"":""Point"",""coordinates"":[29.92248484129093,-29.700193988685356]}"
0000000000000000006f,10.0,-0.017591018229722977,"{""type"":""Point"",""coordinates"":[30.508246604453955,-29.271091300223503]}"
00000000000000000070,12.0,-0.10438218712806702,"{""type"":""Point"",""coordinates"":[30.278058487628208,-29.273471540212697]}"
00000000000000000071,13.0,0.008175978437066078,"{""type"":""Point"",""coordinates"":[30.45805845363846,-29.30820726554713]}"
00000000000000000072,14.0,-0.06233730539679527,"{""type"":""Point"",""coordinates"":[30.01058066848925,-29.725514964844944]}"
00000000000000000073,16.0,-0.08596599102020264,"{""type"":""Point"",""coordinates"":[29.912240159435562,-29.70236819499334]}"
00000000000000000074,17.0,7.102272938936949E-4,"{""type"":""Point"",""coordinates"":[30.25661519326582,-29.25377510965491]}"
00000000000000000075,23.0,0.015382007695734501,"{""type"":""Point"",""coordinates"":[30.5013389232442,-29.28316461591002]}"
00000000000000000076,25.0,0.03005475550889969,"{""type"":""Point"",""coordinates"":[29.970903185288254,-29.655819090223858]}"
00000000000000000077,26.0,0.043876033276319504,"{""type"":""Point"",""coordinates"":[30.063899840842318,-29.59721082264796]}"
00000000000000000078,27.0,0.14630579948425293,"{""type"":""Point"",""coordinates"":[30.067717935549606,-29.583345175694017]}"
00000000000000000079,29.0,0.20110923051834106,"{""type"":""Point"",""coordinates"":[30.446372269399177,-29.267446408932166]}"
0000000000000000007a,31.0,-0.017398888245224953,"{""type"":""Point"",""coordinates"":[29.926219519626606,-29.69323465180697]}"
0000000000000000007b,34.0,0.008886299096047878,"{""type"":""Point"",""coordinates"":[30.27563008993429,-29.22986020865094]}"
0000000000000000007c,35.0,0.04942106828093529,"{""type"":""Point"",""coordinates"":[29.936812100793443,-29.699657956299]}"
0000000000000000007d,38.0,-0.08471580594778061,"{""type"":""Point"",""coordinates"":[30.068482831317233,-29.608952217521132]}"
0000000000000000007e,40.0,0.008300486952066422,"{""type"":""Point"",""coordinates"":[29.97765118206582,-29.652463496966877]}"
0000000000000000007f,41.0,0.006497289054095745,"{""type"":""Point"",""coordinates"":[30.28625608447288,-29.241731430238925]}"
00000000000000000080,42.0,0.007879023440182209,"{""type"":""Point"",""coordinates"":[29.9722736754917,-29.66840756096786]}"
00000000000000000081,44.0,-0.042733728885650635,"{""type"":""Point"",""coordinates"":[30.32413793645336,-29.269356550274182]}"
00000000000000000082,45.0,-0.07078015059232712,"{""type"":""Point"",""coordinates"":[30.080983214717826,-29.587277495437903]}"
00000000000000000083,46.0,0.04093696177005768,"{""type"":""Point"",""coordinates"":[30.353952356000605,-29.235606818109563]}"
00000000000000000084,47.0,0.01805860735476017,"{""type"":""Point"",""coordinates"":[30.08695941924695,-29.575562790751555]}"
