Site_ID,Itteration,Observer,Time,Date,Plantation,Tree_Rich,Tree_Abu,Tree_Hei,Tree_Cov,Shrub_Rich,Shrub_Abu,Shrub_Hei,Shrub_Cov,Suc_Rich,Suc_Abu,Suc_Hei,Suc_Cov,Fern_Rich,Fern_Abu,Fern_Hei,Fern_Cov,Sed_Rich,Sed_Abu,Sed_Hei,Sed_Cov,Forb_Rich,Forb_Abu,Forb_Hei,Forb_Cov,Bulb_Rich,Bulb_Abu,Bulb_Hei,Bulb_Cov,Grass_Rich,Grass_Abu,Grass_Hei,Grass_Cov,Bram_Rich,Bram_Abu,Bram_Hei,Bram_Cov,Grou_Cov,Rock_Cov,Climb_Rich,Climb_Abu,Climb_Hei,Climb_Cov
Site_00,1,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,20,15,0,0,0,0,2,44,50,80,0,0,0,0,5,0,0,0,0,0
Site_00,2,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,20,15,1,2,5,5,2,30,45,75,0,0,0,0,5,0,0,0,0,0
Site_00,3,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,15,10,0,0,0,0,3,39,35,85,0,0,0,0,5,0,0,0,0,0
Site_00,4,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,10,0,0,0,0,3,39,30,80,0,0,0,0,10,0,0,0,0,0
Site_00,5,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,20,15,0,0,0,0,3,37,40,70,0,0,0,0,15,0,0,0,0,0
Site_00,6,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,15,10,0,0,0,0,3,38,40,65,0,0,0,0,25,0,0,0,0,0
Site_00,7,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,15,5,1,1,5,5,3,47,45,80,0,0,0,0,10,0,0,0,0,0
Site_00,8,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,20,10,1,2,5,5,1,28,50,55,0,0,0,0,30,0,0,0,0,0
Site_00,9,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,25,25,0,0,0,0,3,37,50,70,0,0,0,0,5,0,0,0,0,0
Site_00,10,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,20,10,1,3,5,5,2,30,45,60,0,0,0,0,25,0,0,0,0,0
Site_00,11,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,30,10,0,0,0,0,2,29,40,75,0,0,0,0,15,0,0,0,0,0
Site_00,12,Jurie,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,25,10,0,0,0,0,3,37,55,75,0,0,0,0,15,0,0,0,0,0
Site_00,1,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,15,15,2,11,5,5,2,45,45,70,0,0,0,0,10,0,0,0,0,0
Site_00,2,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,15,25,1,8,5,5,1,54,45,65,0,0,0,0,5,0,0,0,0,0
Site_00,3,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,15,20,0,0,0,0,2,42,40,70,0,0,0,0,10,0,0,0,0,0
Site_00,4,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,20,25,0,0,0,0,2,65,45,70,0,0,0,0,5,0,0,0,0,0
Site_00,5,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,40,90,0,0,0,0,10,0,0,0,0,0
Site_00,6,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,40,25,0,0,0,0,2,38,40,60,0,0,0,0,15,0,0,0,0,0
Site_00,7,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,5,2,35,35,70,0,0,0,0,25,0,0,0,0,0
Site_00,8,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,30,10,0,0,0,0,3,60,50,85,0,0,0,0,5,0,0,0,0,0
Site_00,9,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,2,55,40,90,0,0,0,0,5,0,0,0,0,0
Site_00,10,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20,20,0,0,0,0,1,52,40,70,0,0,0,0,10,0,0,0,0,0
Site_00,11,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,45,80,0,0,0,0,20,0,0,0,0,0
Site_00,12,Gabi,12:40,19/03/2020,Newlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,5,2,63,40,90,0,0,0,0,5,0,0,0,0,0
